120,DOW,40.95B,0.86,2.35,14.27,55.22
101,GLP,711.93M,0.05,1.68,-,20.57
103,AKO-A,2.38B,-,2.00,-,15.08
105,CCEP,22.85B,1.73,3.07,-,50.63
107,CDMOP,1.49B,23.19,30.55,-,26.67
109,GILD,84.12B,3.76,4.08,3.68,66.39
111,CAJ,37.75B,1.12,1.25,9.18,28.11
113,PBI,697.06M,0.21,26.73,1.07,4.01
115,NEWT,444.66M,4.26,1.46,123.52,22.71
117,SJR,10.43B,2.56,2.26,9.47,20.10
119,CPAC,855.30M,2.10,1.72,28.70,9.32
122,SQM,7.27B,3.57,3.54,6.33,28.14
124,WLKP,861.82M,0.75,1.72,46.33,25.43
126,MO,94.15B,3.73,8.92,58.70,50.40
128,VGR,1.87B,0.98,-,4.08,13.09
130,AVK,535.14M,15.53,0.92,-,15.50
132,BBN,1.40B,-,-,-,24.55
134,BFZ,431.33M,14.60,0.89,-,13.52
136,BHK,783.68M,16.11,0.92,-,14.53
138,BKT,385.33M,15.76,0.94,-,6.04
140,BTT,1.71B,-,-,-,24.30
121,EMN,10.91B,1.15,1.79,52.69,78.86
123,VHI,647.93M,0.35,-,1.28,1.91
125,BTI,97.07B,2.98,1.14,21.48,42.25
127,PM,134.98B,4.56,-,20.74,86.03
129,AFB,399.55M,15.23,0.94,-,13.90
131,AWF,1.05B,14.82,0.93,-,12.23
133,BFK,637.50M,13.79,1.00,-,14.22
135,BGB,645.85M,-,-,-,14.46
137,BIT,611.86M,-,-,-,16.30
139,BLW,577.98M,12.85,0.95,-,16.13
142,BYM,372.86M,14.30,0.90,-,14.12
144,CHY,851.60M,12.97,1.01,-,11.64
146,DBL,305.07M,-,-,-,20.43
148,DSL,2.00B,-,-,-,19.71
150,DSU,555.12M,9.91,0.92,-,11.17
152,EDD,461.66M,-,-,-,6.98
154,EFT,552.11M,10.23,0.91,-,13.85
156,EMD,861.38M,9.51,0.88,-,14.18
158,EVN,510.93M,19.13,0.95,-,12.88
160,FCT,330.24M,11.39,0.90,-,12.37
141,BTZ,1.44B,12.28,0.97,-,13.83
143,CHI,791.65M,13.16,1.02,-,11.17
145,CSQ,2.12B,23.93,1.05,-,13.73
147,DFP,507.78M,-,-,-,26.50
149,DSM,394.96M,13.91,0.97,-,8.00
151,ECC,390.65M,5.63,1.28,-,14.65
153,EFR,496.72M,10.14,0.89,-,13.48
155,EHI,440.18M,7.74,0.95,-,9.98
157,EOT,332.04M,-,-,-,21.79
159,FAX,1.06B,12.80,0.89,-,4.27
162,FPF,1.45B,-,-,-,23.85
164,FSD,541.02M,-,-,-,15.67
166,GHY,605.67M,-,-,-,14.80
168,GLAD,307.35M,6.14,1.23,-,10.08
170,HIO,643.59M,12.71,0.92,-,5.03
172,HPF,471.65M,11.38,1.05,-,22.10
174,HPS,609.25M,11.15,1.03,-,19.25
176,HYT,1.38B,10.74,0.96,-,11.33
178,IQI,664.75M,13.82,0.91,-,12.57
180,JFR,566.34M,9.23,0.90,-,9.95
161,FFC,957.28M,12.04,1.12,-,21.62
163,FRA,484.22M,11.02,0.92,-,13.33
